TITLE     = "JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump Data-Midspan | JHU-Axial Pump D"
VARIABLES = "x/Ls"
"y/Ls"
"u/Utip"
"v/Utip"
"uu/Utip2"
"vv/Utip2"
"blade"
ZONE T="data phase01"
 I=257, J=61, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 -2.9000E-001 -9.2793E-002 0.0000E+000 0.0000E+000 0.0000E+000 0.0000E+000 1.0000E+000
 -2.8622E-001 -9.2793E-002 0.0000E+000 0.0000E+000 0.0000E+000 0.0000E+000 1.0000E+000
 -2.8243E-001 -9.2793E-002 0.0000E+000 0.0000E+000 0.0000E+000 0.0000E+000 1.0000E+000
 -2.7865E-001 -9.2793E-002 0.0000E+000 0.0000E+000 0.0000E+000 0.0000E+000 1.0000E+000
 -2.7487E-001 -9.2793E-002 3.6265E-001 2.1178E-001 2.1953E-004 5.2762E-004 0.0000E+000
 -2.7108E-001 -9.2793E-002 3.7246E-001 2.0783E-001 2.2487E-004 4.7508E-004 0.0000E+000
 -2.6730E-001 -9.2793E-002 3.7950E-001 2.0909E-001 2.5434E-004 4.5237E-004 0.0000E+000
 -2.6352E-001 -9.2793E-002 3.8426E-001 2.1303E-001 2.8774E-004 4.5675E-004 0.0000E+000
 -2.5973E-001 -9.2793E-002 3.8771E-001 2.1540E-001 3.0722E-004 4.4136E-004 0.0000E+000
 -2.5595E-001 -9.2793E-002 3.9121E-001 2.1763E-001 3.2158E-004 4.0668E-004 0.0000E+000
 -2.5217E-001 -9.2793E-002 3.9418E-001 2.2107E-001 3.2293E-004 3.6507E-004 0.0000E+000
 -2.4838E-001 -9.2793E-002 3.9600E-001 2.2388E-001 3.3062E-004 3.3970E-004 0.0000E+000
 -2.4460E-001 -9.2793E-002 3.9701E-001 2.2639E-001 3.3177E-004 3.2946E-004 0.0000E+000
 -2.4082E-001 -9.2793E-002 3.9746E-001 2.2783E-001 3.4350E-004 3.6770E-004 0.0000E+000
 -2.3703E-001 -9.2793E-002 3.9700E-001 2.2943E-001 3.6948E-004 4.4578E-004 0.0000E+000
 -2.3325E-001 -9.2793E-002 3.9711E-001 2.3153E-001 3.4263E-004 4.7758E-004 0.0000E+000
 -2.2947E-001 -9.2793E-002 3.9725E-001 2.3329E-001 3.3266E-004 4.9300E-004 0.0000E+000
 -2.2568E-001 -9.2793E-002 3.9618E-001 2.3617E-001 3.5098E-004 5.4598E-004 0.0000E+000
 -2.2190E-001 -9.2793E-002 3.9628E-001 2.3815E-001 3.7004E-004 5.8384E-004 0.0000E+000
 -2.1812E-001 -9.2793E-002 3.9708E-001 2.3787E-001 3.7259E-004 5.2194E-004 0.0000E+000
 -2.1433E-001 -9.2793E-002 3.8943E-001 2.3847E-001 3.8580E-004 3.7706E-004 0.0000E+000
 -2.1055E-001 -9.2793E-002 3.8975E-001 2.3985E-001 3.5743E-004 3.1843E-004 0.0000E+000
 -2.0677E-001 -9.2793E-002 3.9062E-001 2.4070E-001 3.5231E-004 3.1582E-004 0.0000E+000
 -2.0299E-001 -9.2793E-002 3.9048E-001 2.4192E-001 3.6071E-004 3.3454E-004 0.0000E+000
 -1.9920E-001 -9.2793E-002 3.8814E-001 2.4174E-001 3.7110E-004 3.5921E-004 0.0000E+000
 -1.9542E-001 -9.2793E-002 3.8526E-001 2.4038E-001 3.8154E-004 3.5413E-004 0.0000E+000
 -1.9164E-001 -9.2793E-002 3.8348E-001 2.3898E-001 3.9725E-004 3.5947E-004 0.0000E+000
 -1.8785E-001 -9.2793E-002 3.8312E-001 2.3987E-001 4.0940E-004 3.9397E-004 0.0000E+000
 -1.8407E-001 -9.2793E-002 3.8349E-001 2.4075E-001 3.8147E-004 4.0347E-004 0.0000E+000
